Name
Gareth Bale
Harry Winks
Joe Rodon
Dele Alli
Japhet Tanganga
Érik Lamela
Carlos Vinícius
Dane Scarlett
Bernd Leno
Bukayo Saka
Granit Xhaka
Rob Holding
Pierre-Emerick Aubameyang
Kieran Tierney
Héctor Bellerín
Gabriel Dos Santos
Alexandre Lacazette
Thomas Partey
Emile Smith-Rowe
Dani Ceballos
Mohamed Elneny
David Luiz
Nicolas Pépé
Willian
Pablo Marí
Martin Ødegaard
Calum Chambers
Cédric Soares
Martinelli
Ainsley Maitland-Niles
Eddie Nketiah
Mathew Ryan
Joe Willock
Sead Kolašinac
Reiss Nelson
Shkodran Mustafi
Rúnar Alex Rúnarsson
Stuart Dallas
Luke Ayling
Patrick Bamford
Illan Meslier
Jack Harrison
Ezgjan Alioski
Kalvin Phillips
Mateusz Klich
Raphael Dias Belloli
Liam Cooper
Pascal Struijk
Tyler Roberts
Rodrigo
Diego Llorente
Hélder Costa
Robin Koch
Jamie Shackleton
Pablo Hernández
Kiko Casilla
Gaetano Berardi
Ian Carlo Poveda
Niall Huggins
Leif Davis
Michael Keane
Richarlison
Dominic Calvert-Lewin
Jordan Pickford
Lucas Digne
Ben Godfrey
Abdoulaye Doucouré
Mason Holgate
Gylfi Sigurðsson
Allan
Yerry Mina
James Rodríguez
Séamus Coleman
André Gomes
Alex Iwobi
Tom Davies
Robin Olsen
Bernard
Fabian Delph
Anthony Gordon
Niels Nkounkou
Jonjoe Kenny
Joshua King
Cenk Tosun
João Virgínia
Moise Kean
Theo Walcott
Jean-Philippe Gbamin
Nathan Broadhead
Emiliano Martínez
Matt Targett
John McGinn
Ollie Watkins
Tyrone Mings
Ezri Konsa
Douglas Luiz
Bertrand Traoré
Matty Cash
Jack Grealish
Ross Barkley
Anwar El Ghazi
Trézéguet
Marvelous Nakamba
Ahmed Elmohamady
Kortney Hause
Jacob Ramsey
Morgan Sanson
Conor Hourihane
Keinan Davis
Carney Chukwuemeka
Wesley Moraes
Neil Taylor
Jaden Philogene Bidace
Jonjo Shelvey
Miguel Almirón
Karl Darlow
Federico Fernández
Callum Wilson
Joelinton
Isaac Hayden
Ciaran Clark
Jamal Lewis
Jamaal Lascelles
Allan Saint-Maximin
Jacob Murphy
Jeff Hendrick
Sean Longstaff
Matt Ritchie
Emil Krafth
Paul Dummett
Fabian Schär
Martin Dúbravka
Joe Willock
Javier Manquillo
Ryan Fraser
DeAndre Yedlin
Dwight Gayle
Andy Carroll
Matthew Longstaff
Elliot Anderson
Rui Patrício
Conor Coady
Nélson Semedo
Rúben Neves
Pedro Neto
Adama Traoré
João Moutinho
Leander Dendoncker
Romain Saïss
Daniel Podence
Willy Boly
Rayan Aït Nouri
Max Kilman
Willian José
Fábio Silva
Raúl Jiménez
Fernando Marçal
Jonny Castro
Ki-Jana Hoever
Vitinha
Morgan Gibbs-White
Owen Otasowie
Rúben Vinagre
John Ruddy
Patrick Cutrone
Oskar Buur
Theo Corbeanu
Vicente Guaita
Cheikhou Kouyaté
Wilfried Zaha
Eberechi Eze
Luka Milivojević
Andros Townsend
Joel Ward
Jordan Ayew
Christian Benteke
Gary Cahill
Patrick van Aanholt
Jaïro Riedewald
Tyrick Mitchell
James McArthur
Jeffrey Schlupp
Scott Dann
Nathaniel Clyne
James McCarthy
Michy Batshuayi
James Tomkins
Mamadou Sakho
Jean-Philippe Mateta
Jack Butland
Martin Kelly
James Ward-Prowse
Jan Bednarek
Stuart Armstrong
Alex McCarthy
Che Adams
Kyle Walker-Peters
Ryan Bertrand
Jannik Vestergaard
Danny Ings
Oriol Romeu
Theo Walcott
Nathan Redmond
Jack Stephens
Moussa Djenepo
Ibrahima Diallo
Takumi Minamino
Mohammed Salisu
Fraser Forster
Nathan Tella
William Smallbone
Shane Long
Yan Valery
Kayne Ramsey
Jake Vokins
Alexandre Jankewitz
Dan Nlundulu
Michael Obafemi
Caleb Watts
Allan Tchaptchet
Ben White
Yves Bissouma
Lewis Dunk
Leandro Trossard
Adam Webster
Neal Maupay
Pascal Groß
Robert Sánchez
Joël Veltman
Dan Burn
Solly March
Danny Welbeck
Adam Lallana
Alexis Mac Allister
Mathew Ryan
Tariq Lamptey
Steven Alzate
Aaron Connolly
Jakub Moder
Alireza Jahanbakhsh
Davy Pröpper
Bernardo
Percy Tau
Andi Zeqiri
José Izquierdo
Reda Khadra
Jayson Molumby
Ashley Westwood
James Tarkowski
Dwight McNeil
Matthew Lowton
Nick Pope
Josh Brownhill
Chris Wood
Ben Mee
Charlie Taylor
Jóhann Berg Guðmundsson
Matěj Vydra
Jack Cork
Ashley Barnes
Erik Pieters
Jay Rodriguez
Robbie Brady
Kevin Long
Bailey Peacock-Farrell
Phil Bardsley
Jimmy Dunne
Dale Stephens
Josh Benson
Will Norris
Joel Mumbongo
Lewis Richardson
Alphonse Areola
Tosin Adarabioyo
Ademola Lookman
Ola Aina
Joachim Andersen
Andre-Frank Zambo Anguissa
Bobby Reid
Ivan Cavaleiro
Harrison Reed
Antonee Robinson
Ruben Loftus-Cheek
Mario Lemina
Kenny Tete
Aleksandar Mitrović
Josh Maja
Tom Cairney
Joe Bryan
Tim Ream
Josh Onomah
Denis Odoi
Michael Hector
Fabio Carvalho
Aboubakar Kamara
Marek Rodák
Maxime Le Marchand
